filename,label
gl_2003.jpg,Glioma
pi_1224.jpg,Pituitary
me_image(107).jpg,Meningioma
gl_0126_jpg.rf.fae17fdfdba906952459f8c391267bf8.jpg,Glioma
gl_gg (133).jpg,Glioma
me_m1(77).jpg,Meningioma
gl_0371_jpg.rf.9217e4b114a5ae55de8327fb89705541.jpg,Glioma
gl_2765.jpg,Glioma
gl_0309_jpg.rf.d24b614262f1ec73c6f0970063424541.jpg,Glioma
pi_1556.jpg,Pituitary
gl_2771.jpg,Glioma
pi_p (37).jpg,Pituitary
pi_1230.jpg,Pituitary
me_239.jpg,Meningioma
pi_1218.jpg,Pituitary
me_211.jpg,Meningioma
gl_2759.jpg,Glioma
me_563.jpg,Meningioma
me_0383_jpg.rf.a809a49785adcd3fe556ed94478f9ce2.jpg,Meningioma
gl_gg (426).jpg,Glioma
me_m1(98).jpg,Meningioma
gl_0148_jpg.rf.a998f2fe41250fe864697cda4b4ce32e.jpg,Glioma
pi_1581.jpg,Pituitary
me_0308_jpg.rf.16c8a0d0ae58c93142389b051dcd7eed.jpg,Meningioma
no_image_227.jpg,No_Tumor
no_0041_jpg.rf.7759a49a3c63c06ec40066acb52db89c.jpg,No_Tumor
me_0442_jpg.rf.0e22acfe16e86e0c415859025d42a966.jpg,Meningioma
gl_gg (68).jpg,Glioma
me_0178_jpg.rf.7a378b9d065d02e1a9b627f30c4beaf1.jpg,Meningioma
pi_1595.jpg,Pituitary
pi_p (202).jpg,Pituitary
gl_0111_jpg.rf.fd5d0794726371a3b5cca718d6c52e0c.jpg,Glioma
me_m2 (105).jpg,Meningioma
gl_0300_jpg.rf.11fc0947c2aba4eeada07d6505044679.jpg,Glioma
me_m (75).jpg,Meningioma
pi_p (717).jpg,Pituitary
gl_761.jpg,Glioma
me_m (130).jpg,Meningioma
gl_2956.jpg,Glioma
gl_2567.jpg,Glioma
pi_1740.jpg,Pituitary
me_0326_jpg.rf.24646898942163bcf5a169ce66d5afb4.jpg,Meningioma
pi_p (60).jpg,Pituitary
no_image_26.jpg,No_Tumor
pi_1026.jpg,Pituitary
gl_2201.jpg,Glioma
me_m1(20).jpg,Meningioma
gl_2215.jpg,Glioma
me_0530_jpg.rf.0b77d2d936d2c516f5ea388cfb2c0b48.jpg,Meningioma
pi_p (193).jpg,Pituitary
gl_0438_jpg.rf.a78e47b13f91d78d38d9de31685476bc.jpg,Glioma
pi_0109_jpg.rf.2bf3f09a252ca1bf88423737eaf8e54e.jpg,Pituitary
no_0086_jpg.rf.bc22a85ab1403a291d85f2458ec6ac6c.jpg,No_Tumor
gl_2573.jpg,Glioma
gl_image(65).jpg,Glioma
gl_gg (534).jpg,Glioma
pi_p (469).jpg,Pituitary
pi_0631_jpg.rf.e5cfe5d3abde6b04c74ed097eed945c7.jpg,Pituitary
pi_p (486).jpg,Pituitary
me_m1(148).jpg,Meningioma
gl_0454_jpg.rf.419aefe1ce48688053e1b9bcf33ebe6d.jpg,Glioma
gl_gg (471).jpg,Glioma
me_m3 (119).jpg,Meningioma
gl_2229.jpg,Glioma
gl_0431_jpg.rf.afbbcea3f47948a2457134308eff994e.jpg,Glioma
me_0450_jpg.rf.bad041d39ac0bd52bfd125eb7d94c083.jpg,Meningioma
gl_0106_jpg.rf.66bda55927713022d9cd278f6a5f5368.jpg,Glioma
pi_1768.jpg,Pituitary
me_0205_jpg.rf.50aa12e8d5c9e1a771ac2640bd0a4305.jpg,Meningioma
gl_gg (758).jpg,Glioma
pi_p (605).jpg,Pituitary
pi_0026_jpg.rf.f9bc00cc059960612875beaf059caf6a.jpg,Pituitary
me_m3 (230).jpg,Meningioma
pi_1783.jpg,Pituitary
gl_gg (308).jpg,Glioma
gl_1913.jpg,Glioma
me_m (188).jpg,Meningioma
no_0042_jpg.rf.42d7c767b95855eb945fd7cd18a93c58.jpg,No_Tumor
pi_1797.jpg,Pituitary
me_0045_jpg.rf.0b7396eec6d29b8c30bf3a6f29481068.jpg,Meningioma
no_image(73).jpg,No_Tumor
gl_2598.jpg,Glioma
me_m3 (48).jpg,Meningioma
pi_p (740).jpg,Pituitary
pi_p (310).jpg,Pituitary
gl_image(73).jpg,Glioma
gl_gg (522).jpg,Glioma
pi_1634.jpg,Pituitary
pi_p (185).jpg,Pituitary
me_m2 (7).jpg,Meningioma
gl_gg (172).jpg,Glioma
gl_2375.jpg,Glioma
gl_gg (488).jpg,Glioma
gl_2361.jpg,Glioma
pi_1146.jpg,Pituitary
pi_p (76).jpg,Pituitary
pi_0658_jpg.rf.2f3d2f377ddb080346e45db55f4f2ed5.jpg,Pituitary
no_image_186.jpg,No_Tumor
me_629.jpg,Meningioma
gl_2407.jpg,Glioma
pi_image(18).jpg,Pituitary
me_601.jpg,Meningioma
me_0462_jpg.rf.2bd2c90fe51bc9f40ccca9912d7d99f0.jpg,Meningioma
no_0018_jpg.rf.a7238037845be3f2031b147e1dad4d07.jpg,No_Tumor
me_167.jpg,Meningioma
pi_0233_jpg.rf.dce6ddd318b1501db945b32b8c517475.jpg,Pituitary
gl_3057.jpg,Glioma
gl_1898.jpg,Glioma
pi_p (99).jpg,Pituitary
gl_gg (467).jpg,Glioma
gl_3043.jpg,Glioma
me_615.jpg,Meningioma
pi_p (490).jpg,Pituitary
me_0264_jpg.rf.0f9568f331d4221beb61eb5d97524e17.jpg,Meningioma
pi_0252_jpg.rf.1a1607930af1d4c20ad9c836cadf531e.jpg,Pituitary
no_image_151.jpg,No_Tumor
me_198.jpg,Meningioma
pi_1191.jpg,Pituitary
me_12.jpg,Meningioma
gl_gg (29).jpg,Glioma
gl_1867.jpg,Glioma
pi_0024_jpg.rf.5c3fe725920a8b8d19ced25de7737231.jpg,Pituitary
me_m3 (226).jpg,Meningioma
no_image_145.jpg,No_Tumor
me_m2 (144).jpg,Meningioma
me_0240_jpg.rf.9ab554bb435043497aa3bbb8e90c3a68.jpg,Meningioma
pi_p (613).jpg,Pituitary
pi_1813.jpg,Pituitary
pi_p (306).jpg,Pituitary
me_m (34).jpg,Meningioma
me_m (171).jpg,Meningioma
no_0185_jpg.rf.753b1fd5397f6f7663cfffae52a7ca41.jpg,No_Tumor
pi_p (756).jpg,Pituitary
gl_0117_jpg.rf.bfc2106e9dfc09c5c2dedba0fe73847b.jpg,Glioma
pi_0136_jpg.rf.7fc8cd6fbaa7338da36ab91f2ea1d3f7.jpg,Pituitary
me_0033_jpg.rf.4f565f373a3e9a9a8f72e73805f493cf.jpg,Meningioma
me_0185_jpg.rf.0094b0b539582e2f95ae7b6ada4d4f42.jpg,Meningioma
pi_0647_jpg.rf.fea3b502eeda727c8b2854c367f2b9cf.jpg,Pituitary
no_image(65).jpg,No_Tumor
me_359.jpg,Meningioma
pi_1350.jpg,Pituitary
gl_2177.jpg,Glioma
gl_gg (826).jpg,Glioma
me_0111_jpg.rf.d3fcb430de7e3336f8fc8d210cffb35b.jpg,Meningioma
gl_832.jpg,Glioma
pi_p (21).jpg,Pituitary
pi_1436.jpg,Pituitary
pi_1422.jpg,Pituitary
me_m1(61).jpg,Meningioma
pi_p (582).jpg,Pituitary
gl_826.jpg,Glioma
no_0384_jpg.rf.17d1e587f8f314daa8d2edb11a585546.jpg,No_Tumor
gl_gg (575).jpg,Glioma
pi_p (428).jpg,Pituitary
gl_image(24).jpg,Glioma
pi_1344.jpg,Pituitary
gl_2163.jpg,Glioma
me_m1(109).jpg,Meningioma
gl_0364_jpg.rf.41b7424b08760d54d337de07cf84ee88.jpg,Glioma
me_0427_jpg.rf.a32dbde514d4dc8d0cdaa1c4266cb6b3.jpg,Meningioma
pi_0532_jpg.rf.e2f0465e6c4f39d3ac09b54d9b3c032f.jpg,Pituitary
gl_gg (430).jpg,Glioma
me_m3 (158).jpg,Meningioma
gl_0078_jpg.rf.eabc2d473e3c783e6a50e5af730e793e.jpg,Glioma
pi_937.jpg,Pituitary
gl_2639.jpg,Glioma
me_371.jpg,Meningioma
pi_1378.jpg,Pituitary
me_m2 (113).jpg,Meningioma
no_0438_jpg.rf.f466b367919ac0e3d41dfbe838ae58e5.jpg,No_Tumor
pi_1393.jpg,Pituitary
me_0529_jpg.rf.ea124680421a7b545e4503927d0a078a.jpg,Meningioma
gl_gg (349).jpg,Glioma
me_0047_jpg.rf.8191b43f72add6216929dfab7448920b.jpg,Meningioma
pi_0650_jpg.rf.ad13323a5b6c80cc0e3126bbaf776d79.jpg,Pituitary
me_0114_jpg.rf.eb55f09193daf3df96b9c1c68c7de135.jpg,Meningioma
pi_0235_jpg.rf.cfa582841370b5a6bbbfa7e1bf84efa0.jpg,Pituitary
pi_1387.jpg,Pituitary
pi_0641_jpg.rf.15f211a3c2ee2c4516abf47cc9447472.jpg,Pituitary
gl_gg (91).jpg,Glioma
gl_0255_jpg.rf.ef5220fcb05e6f58de8c73bd5c6234da.jpg,Glioma
gl_2822.jpg,Glioma
pi_p (701).jpg,Pituitary
me_m (63).jpg,Meningioma
pi_p (351).jpg,Pituitary
me_0320_jpg.rf.2580f234b0df1ce90b62dffe0716ee70.jpg,Meningioma
gl_0204_jpg.rf.ff2320179181eb825377b8cc4de309aa.jpg,Glioma
me_0449_jpg.rf.76f094a0eb00e586bb297622a1315d41.jpg,Meningioma
gl_2823.jpg,Glioma
pi_p (516).jpg,Pituitary
me_m3 (123).jpg,Meningioma
pi_0469_jpg.rf.7ebbc1d9201e4ccfa63a4fa975a92d5f.jpg,Pituitary
gl_2189.jpg,Glioma
gl_2837.jpg,Glioma
pi_image(34).jpg,Pituitary
pi_711.jpg,Pituitary
me_0104_jpg.rf.c7682542f738e6a3573dfb511a9edf72.jpg,Meningioma
no_0481_jpg.rf.2ae4bf9e34a1760db971d4b866153204.jpg,No_Tumor
pi_1392.jpg,Pituitary
pi_0217_jpg.rf.7c95d32d4241f223933dc05a7f20d7c7.jpg,Pituitary
gl_image(6).jpg,Glioma
pi_p (453).jpg,Pituitary
no_image(49).jpg,No_Tumor
me_416.jpg,Meningioma
gl_2638.jpg,Glioma
me_m3 (72).jpg,Meningioma
pi_1379.jpg,Pituitary
me_0038_jpg.rf.60e86dcbd67b1a1d43cee9c391e28053.jpg,Meningioma
pi_p (280).jpg,Pituitary
gl_gg (627).jpg,Glioma
pi_922.jpg,Pituitary
me_m (18).jpg,Meningioma
gl_gg (277).jpg,Glioma
me_402.jpg,Meningioma
no_0419_jpg.rf.dd933ace056506edaa52df87bfa40183.jpg,No_Tumor
gl_gg (762).jpg,Glioma
gl_827.jpg,Glioma
gl_0142_jpg.rf.ea7ec357e4299ac9f6096b8b2b4eedc3.jpg,Glioma
me_m2 (168).jpg,Meningioma
gl_gg (298).jpg,Glioma
pi_1423.jpg,Pituitary
gl_gg (332).jpg,Glioma
gl_2162.jpg,Glioma
pi_1345.jpg,Pituitary
pi_p (795).jpg,Pituitary
gl_2176.jpg,Glioma
pi_1351.jpg,Pituitary
me_358.jpg,Meningioma
gl_0448_jpg.rf.300d7b474a531f7c32b89d927a0b48f3.jpg,Glioma
pi_1437.jpg,Pituitary
gl_2610.jpg,Glioma
gl_833.jpg,Glioma
me_m3 (6).jpg,Meningioma
me_image(25).jpg,Meningioma
pi_image(63).jpg,Pituitary
no_image_178.jpg,No_Tumor
pi_1812.jpg,Pituitary
pi_p (541).jpg,Pituitary
me_m1(125).jpg,Meningioma
pi_p (111).jpg,Pituitary
pi_1184.jpg,Pituitary
gl_gg (559).jpg,Glioma
pi_p (404).jpg,Pituitary
gl_1872.jpg,Glioma
no_0251_jpg.rf.2c015b233d2da6937004f5a053c4d849.jpg,No_Tumor
no_image_144.jpg,No_Tumor
no_0208_jpg.rf.30b23e6384fe69ab98d88b316a7f4213.jpg,No_Tumor
no_image_150.jpg,No_Tumor
gl_1866.jpg,Glioma
pi_1190.jpg,Pituitary
me_13.jpg,Meningioma
me_0526_jpg.rf.b170d490ae447496f8e53eecf9a18896.jpg,Meningioma
me_199.jpg,Meningioma
gl_gg (220).jpg,Glioma
gl_3042.jpg,Glioma
pi_p (687).jpg,Pituitary
gl_gg (670).jpg,Glioma
me_m2 (25).jpg,Meningioma
me_614.jpg,Meningioma
pi_1609.jpg,Pituitary
me_m3 (25).jpg,Meningioma
gl_1899.jpg,Glioma
me_166.jpg,Meningioma
me_image(72).jpg,Meningioma
gl_2360.jpg,Glioma
gl_2406.jpg,Glioma
pi_1621.jpg,Pituitary
me_628.jpg,Meningioma
pi_0327_jpg.rf.be1c2f65960629428e9c1b4a125115e7.jpg,Pituitary
no_image_187.jpg,No_Tumor
gl_0014_jpg.rf.1c9a1de19711c94e45210faa7473b26a.jpg,Glioma
gl_gg (52).jpg,Glioma
gl_2412.jpg,Glioma
pi_1635.jpg,Pituitary
no_image_193.jpg,No_Tumor
gl_2374.jpg,Glioma
no_0402_jpg.rf.e8e5b5bcf0b355560ad944e4529255ad.jpg,No_Tumor
pi_p (107).jpg,Pituitary
gl_0151_jpg.rf.9e91fb7f918d999785dd5fcc5d47b9d4.jpg,Glioma
me_m1(133).jpg,Meningioma
pi_p (557).jpg,Pituitary
me_m3 (162).jpg,Meningioma
pi_p (804).jpg,Pituitary
gl_2599.jpg,Glioma
